highway_name,route_no,from_location,to_location,source_url,source_note
Robert R. Brown Memorial Highway,US-50,from Brownstown to Seymour,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
Ray Ewry Memorial Highway,US-52,from Martin Jischke Dr to Lindberg Rd,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
"""Sheriff John H. Peper Memorial Highway""",US-52,Four miles north of Lebanon,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
"""World War II Veterans Highway""",US-52,through Rush County,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
"""Mary Anderson Memorial Highway""",US-150,from exit 119 @ I-64 N to Buck Creek Road,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
Orange County Veterans Memorial Highway,US-150,from SR 56 (w jct) to SR 37,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
"""Jerrold J. Wyss Memorial Highway""",US-224,from Co.Rd. 200 E to Co.Rd. 700 E,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
"""Abraham Lincoln Memorial Parkway""",US-231,from Ohio River to I-64,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
Donald W. Dean Memorial Highway,US-231,from I-69 to Bloomfield,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
Veterans Memorial Parkway,US-231,from Hebron to US 41,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
