highway_name,route_no,from_location,to_location,source_url,source_note
Wright Brothers Memorial Highway,State Route 4,"The road known as state route number four of this state, running in a northeasterly and southwesterly direction, commencing at the city of Cincinnati in Wyoming, Hamilton county, and extending through the counties of Butler, Montgomery, Greene, Clark, Champaign, Union, Delaware, Marion, Crawford, Seneca, Huron, and Erie to the city of Sandusky, and through the municipal corporations of Hamilton, Middletown, Dayton, Springfield, Mechanicsburg, Marysville, Marion, and Bucyrus, shall be known as ""Wright Brothers Memorial Highway.""",,https://codes.ohio.gov/ohio-revised-code/section/5533.14,Ohio Revised Code memorial/named highway designations (ORC 5533/5534).
Army Corporal Charles E. Hiltibran Memorial Highway,U.S. Route 68,"The northbound and southbound lanes of U.S. Route 68, between Dallas Road and Hickory Grove Road, in Champaign County",,https://codes.ohio.gov/ohio-revised-code/section/5534.659,Ohio Revised Code memorial/named highway designations (ORC 5533/5534).
Forty-second Rainbow Division Memorial Highway,State Route 42,"The road known as state route number forty-two, running in a northeasterly and southwesterly direction across the state through the counties of Cuyahoga, Medina, Wayne, Ashland, Richland, Morrow, Delaware, Union, Madison, Clark, Greene, Warren, Butler, and Hamilton and through the municipal corporations of Cleveland, Medina, Ashland, Mansfield, Mt. Gilead, Delaware, London, Xenia, Lebanon, and Cincinnati shall be known as the ""Forty-second `Rainbow' Division Memorial Highway.""",,https://codes.ohio.gov/ohio-revised-code/section/5533.07,Ohio Revised Code memorial/named highway designations (ORC 5533/5534).
Wright Brothers Memorial Highway,State Route 4,"The road known as state route number four of this state, running in a northeasterly and southwesterly direction, commencing at the city of Cincinnati in Wyoming, Hamilton county, and extending through the counties of Butler, Montgomery, Greene, Clark, Champaign, Union, Delaware, Marion, Crawford, Seneca, Huron, and Erie to the city of Sandusky, and through the municipal corporations of Hamilton, Middletown, Dayton, Springfield, Mechanicsburg, Marysville, Marion, and Bucyrus, shall be known as ""Wright Brothers Memorial Highway.""",,https://codes.ohio.gov/ohio-revised-code/section/5533.14,Ohio Revised Code memorial/named highway designations (ORC 5533/5534).
Simon Kenton Trace Highway,State Route 72,"The road known as state route number seventy-two, commencing in the city of Springfield in Clark county and extending through the counties of Greene and Clinton to the junction it makes with United States route sixty-two in Highland county, shall be known as the ""Simon Kenton Trace Highway.""",,https://codes.ohio.gov/ohio-revised-code/section/5533.23,Ohio Revised Code memorial/named highway designations (ORC 5533/5534).
Ron Burton Memorial Highway,U.S. Route 68,"In addition to the designation of the road known as United States route number sixty-eight in section 5533.49 of the Revised Code, that portion of United States route sixty-eight located in Clark county commencing at the point where that highway enters Springfield township and extending in a northerly direction to the northernmost boundary of the city of Springfield, also shall be known as the ""Ron Burton Memorial Highway.""",,https://codes.ohio.gov/ohio-revised-code/section/5533.491,Ohio Revised Code memorial/named highway designations (ORC 5533/5534).
John Kalaman and Robert O'Toole Memorial Highway,Interstate Route 675,"The road known as interstate six hundred seventy-five, running in a northeasterly and southwesterly direction through the counties of Montgomery, Greene, and Clark shall be known as the ""John Kalaman and Robert O'Toole Memorial Highway.""",,https://codes.ohio.gov/ohio-revised-code/section/5533.5,Ohio Revised Code memorial/named highway designations (ORC 5533/5534).
Lance Cpl. Kevin S. Smith Memorial Highway,State Route 334,"The road known as state route number three hundred thirty-four, located within Clark county, shall be known as the ""Lance Cpl. Kevin S. Smith Memorial Highway.""",,https://codes.ohio.gov/ohio-revised-code/section/5533.601,Ohio Revised Code memorial/named highway designations (ORC 5533/5534).
Wayne Embry Way,U.S. Route 40,"That portion of the road known as United States route forty located within Clark county extending from the junction with state route two hundred thirty-five to the junction with Gordon road at the Bethel township line shall be known as the ""Wayne Embry Way.""",,https://codes.ohio.gov/ohio-revised-code/section/5533.65,Ohio Revised Code memorial/named highway designations (ORC 5533/5534).
"Trooper Charles V. Vogel, Jr. Memorial Highway",Interstate Route 70,"In addition to any other name prescribed in the Revised Code or otherwise, that portion of the road known as interstate route number seventy, running in an easterly and westerly direction within Clark county between mile marker number fifty-one and mile marker number fifty-three, shall be known as the ""Trooper Charles V. Vogel, Jr. Memorial Highway.""",,https://codes.ohio.gov/ohio-revised-code/section/5533.679,Ohio Revised Code memorial/named highway designations (ORC 5533/5534).
