Name,Occupation,Race,Sex,Age
Arthur Mays,,,male,80.0
Athalie Range,,,,
Aventura,,,,
Avenue of the Americas,,,,
Benjamin Leon,,,male,70.0
"Benjamin Leon, Jr.",,,,
Bill Seidle,,,,
Billy Kemp,musician,,male,
Bird Road State,,,,
Biscayne Park,,,,
Bishop Victor Tyrone Curry,,,,
Bob Arbetter's,,,,
Boringuen,,,,
Brickell Avenue State,,,,
Carlos Rodriquez Santana,,,,
Brownsville Commercial District,,,,
Calle Ocho State,,,,
Capois‐La‐Mort,,,,
"Captains Padron, Perez and Sosa",,,,
Carlos Arboleya,rugby union player,,male,
Carlos C. Lopez‐Aguiar,,,,
Carrie P. Meek,politician,African Americans,female,95.0
Cesar Calas,,,,
Charles Summer,,,male,
Chelsie J. Senerchia,politician,,male,91.0
Coral Way Historic Canopied,,,,
Coral Way State,,,,
Crandon Boulevard State,,,,
Cuban‐American Association of Civil Engineers,,,,
Cutler Bay,,,,
Daniel D. Diefenbach,,,,
Daniel J. Mahoney,political scientist,,male,
"Dewey Knight, Jr.,",,,,
Dolphin,,,,
Don Shula,American football player,,male,90.0
"Dr. Armando Bucelo, Sr.",,,,
Dr. Jose A. Marques,,,,
Dr. Leonard Cherdack,,,,
Dr. Oscar Elias Biscet,,,,
Dr. T. Stewart Greer,,,,
Dr. Vicente Grau‐Imperatori,,,,
Elaine Gordon,politician,,female,69.0
Emilio Ochoa,politician,,male,100.0
Ernesto Montaner,,,,
Essie Silva,,,,
Estrella Rubio,researcher,,,
Ethel Beckford,,,,
Father Gerard Jean‐Juste,,,,
Felipe Valls,restaurateur,,male,89.0
Florencio 'Kiko' Pernas,,,,
Frank Pasquarella,,,,
Frederick Douglass,journalist,African Americans,male,78.0
George Gill,baseball player,,male,
Golden Glades,,,,
Gwen Cherry,teacher,,female,56.0
Henri Levy,rabbi,,male,59.0
Herbert Lee Simon,,,,
Biscayne,,,,
"Honorable Robert B. Ingram, Ph.D.",,,,
Hugh Anderson,,,,
Interama,,,,
Jacob Fleishman,,,,
James Weldon Johnson,writer,African Americans,male,67.0
Jean‐Jacques Dessalines,,,,
Jean Baptiste Point du Sable,merchant,,male,73.0
"Jefferson Reaves, Sr.",,,,
Jerry Underwood,saxophonist,,male,46.0
Jim Mandich,American football player,,male,63.0
John F. Cosgrove,politician,,male,57.0
John F. Kennedy,politician,Irish Americans,male,46.0
John H. Levi,,,,
John I. Smith,horse trainer,,male,
"John J. Brunettie, Sr.",,,,
John Torrese Family,,,,
Jorge L. Cabrera,,,,
Jorge Mas Canosa,businessperson,,male,58.0
Jose Regueiro,researcher,,male,
Joseph Emmanuel 'Manno' Charlemagne,,,,
Judge Steve Levine,,,,
"Judge Wilkie D. Ferguson, Jr",,,,
Judy Drucker,,,,
Julia Tuttle,businessperson,,female,49.0
Julia Tuttle,businessperson,,female,49.0
Killian,,,,
Le Jeune,,,,
Lincoln‐Marti,,,,
Lolo Villalobos,,,male,84.0
Loring P. Evans,,,,
Lourdes P. Aguila,,,,
Lt. Colonel Charles Brown,,,,
Luis Conte Aguero,historian,,male,101.0
Maestro Luis Casas Romero,,,,
Manny Añon,,,,
Manolo Reyes,journalist,,male,84.0
Manuel Capo,,,,
Manuel Capo,,,,
Marilyn Culp,,,,
Marjory Stoneman Douglas,journalist,,female,108.0
Marlins,,,,
Martha Flores,announcer,,female,92.0
Mary Ellen Miller,scholar of English,,female,
Maurice Rosen,,,male,76.0
Mayor General Ignacio Agramonte y Loynaz,,,,
Miami Medical Team,,,,
Milton Littman,,,,
Miss Lillie Williams,,,,
Monsignor Emilio Vallina,,,,
Mrs. Ann Carlton,,,,
MSgt. Benjamin Strickland,,,,
Natan R. Rok,,,,
Norman Giller,journalist,,male,
North Miami Beach,,,,
Ofelia Perez‐Roura,,,,
Olga Guillot,actor,,female,88.0
Orange Bowl,,,,
Osun's Village,,,,
Palmetto Bay,,,,
Pastors Dr. Randall & Sharlene Holts,,,,
Phicol Williams,,,,
Pinecrest,,,,
Rafael Diaz-Balart,politician,,male,79.0
Rafael Diaz-Balart,politician,,male,79.0
Ramon Puig,dub actor,,male,97.0
Raquel Regalado,,,,
Raul L. Martinez/Jose Abreu Pass,,,,
Red Road State,,,,
Rev. Jorge Comesanas,,,,
"Reverend Dr. C.P. Preston, Jr.",,,,
Reverend Max Salvador,,,,
Reverend Samuel Atchison,,,,
Ricardo Karakadze,,,,
Rick Ricciardelli,,,,
Rickenbaker,,,,
Robert Frost,poet,,male,89.0
Robert L. Blum,,,,
Rodolfo Garcia,lawyer,,male,76.0
Roi Henri Christophe,,,,
Rolando Encinosa,,,,
Rosendo Rosell,,,,
Roy F. Kenzie,,,,
S.W. 62nd Avenue,,,,
Saint Marcellin Champagnat,Catholic priest,,male,51.0
Senator Ruben Mendiola,,,,
Senator Sherman Winn,,,,
Shawn O'Dare,,,,
Shepard Broad,banker,,male,95.0
Sidney Alterman,,,,
Sigmund Zilber,,,,
Singer,,,,
South Bayshore Drive,,,,
South Miami Avenue,,,,
Steve Mainster,,,,
Steven Cranman,,,,
Sunny Isles,,,,
Tanya Martin Oubre Pekel,,,,
Toussaint L'Ouverture,politician,,male,60.0
Trooper Robert G. Smith,,,,
"Victor Hernandez, Sr.",,,,
Will James Johnson,,,,
William H. Turner,stage actor,,male,81.0
William Lehman,politician,,male,92.0
Willy Chirino,singer,,male,
Yitzhak Rabin,diplomat,Jewish people,male,73.0
Zuly Reyes,,,,
Dante B. Fascell,,,,
Representative Bernie C. Papy,,,,
"Whale Harbor Joe Roth, Jr.",,,,
Harry S. Truman,politician,,male,88.0
Gale Lemerand,,,,
Kermit Sigmon,,,,
Patricia Angella Barrett Lewis and Charlton Pernell Lewis,,,,
Elias 'Rico' Piccard,,,,
Marge Pearlson,,,,
Reverend Wilner Maxy,,,,
Brittan Alexander,,,,
Burton R. Quinn,,,,
Franklin Hair,,,,
Trooper Ronald Gordon Smith,,,,
Deputy Lonnie Coburn,,,,
Andrew J. Aviles,,,,
Art Pepin,,,,
"August A. Busch, Jr.",,,,
Blue Star,,,,
Brandon,,,,
Corporal Michael Joseph Roberts,,,,
Fortune Taylor,,,,
Gonzmart,,,,
